NEIGHBORHOOD	NUM_EST	NUM_EMP	PAY_ANN	PAY_QTR1	POP	NORM_EST	NORM_EMP	NORM_PAY_ANN	NORM_PAY_QTR1	ANN_PAY_DIV_EMP
Allston/Brighton	1230	21554	1543275	364162	70330	0.01748898052040381	0.30646950092421443	21.943338546850562	5.177904166074222	71.60039899786582
Back Bay/Beacon Hill	3377	106809	15947996	4634691	29266	0.11538987220665618	3.649593384815144	544.9325497163944	158.36434770723707	149.3132226685017
Central Boston	5193	167140	25844167	7318903	38163	0.13607420800251552	4.37963472473338	677.2048057018578	191.78007494169745	154.62586454469306
Charlestown	503	12664	999317	230729	19120	0.02630753138075314	0.6623430962343096	52.26553347280335	12.067416317991631	78.91006001263423
Dorchester	1648	23776	1419043	334213	110283	0.014943372958660899	0.21559079821912716	12.867286889185097	3.03050334140348	59.683840847913864
East Boston	853	20398	1217494	265088	43066	0.019806808154925	0.4736451028653694	28.270422142757628	6.155389402312729	59.68693009118541
Fenway/Kenmore	1254	112831	8997755	2052613	58530	0.02142491030240902	1.9277464548094994	153.72894242268922	35.06941739279002	79.74541571022148
Hyde Park	458	4965	275167	60201	35102	0.013047689590336732	0.1414449319127115	7.8390689989174405	1.7150304825935845	55.42134944612286
Jamaica Plain	703	13852	965731	226731	38284	0.018362762511754258	0.36182217114199144	25.225446661790826	5.922343537770348	69.7178024833959
Mattapan	242	1899	81688	18476	22734	0.0106448491246591	0.08353127474267617	3.593208410310548	0.8127034397818246	43.01632438125329
Roslindale	455	5372	250446	55707	30544	0.014896542692509167	0.17587742273441592	8.199515453116815	1.8238279203771608	46.62062546537602
Roxbury	865	13006	886976	194998	75519	0.011454071160899906	0.172221560137184	11.745070776890584	2.582105165587468	68.19744733200062
South Boston	1798	68890	10619740	2950757	43747	0.04109996114019247	1.5747365533636593	242.75356024413102	67.4504994628203	154.15502975758454
South End	894	20560	1402286	302364	29073	0.030750180579919514	0.7071853609878581	48.23327485983559	10.400165101640697	68.2045719844358
West Roxbury	493	5323	248980	57943	27111	0.01818450075615064	0.1963409686105271	9.183726162812142	2.1372505625023055	46.774375352244974
