NEIGHBORHOOD	TOTAL_WORKERS	0-29_MINUTES_N	30-59_MINUTES_N	60+_MINUTES_N	0-29_MINUTES_FRAC	30-59_MINUTES_FRAC	60+_MINUTES_FRAC
Allston/Brighton	39546	16634	18472	4440	0.420624083	0.467101603	0.112274313
Back Bay/Beacon Hill	13001	9002	3559	440	0.692408276	0.273748173	0.03384355
Central Boston	333134	159417	137140	36577	0.478537165	0.411666176	0.109796658
Charlestown	10356	4289	5383	684	0.414156045	0.519795288	0.066048667
Dorchester	57065	22595	25051	9419	0.395951985	0.438990625	0.165057391
East Boston	22570	9319	10501	2750	0.412893221	0.465263624	0.121843155
Fenway/Kenmore	14079	9669	3867	543	0.686767526	0.274664394	0.03856808
Hyde Park	17773	6091	9254	2428	0.342710854	0.520677432	0.136611714
Jamaica Plain	20471	8501	10173	1797	0.415270382	0.4969469	0.087782717
Mattapan	11687	3768	4934	2985	0.322409515	0.422178489	0.255411996
Roslindale	15383	5937	7382	2064	0.385945524	0.479880387	0.134174088
Roxbury	21648	9031	9607	3010	0.417174797	0.443782336	0.139042868
South Boston	19975	10646	8189	1140	0.532966208	0.409962453	0.057071339
South End	14574	9101	4659	814	0.624468231	0.31967888	0.055852889
West Roxbury	14017	6584	5474	1959	0.469715346	0.39052579	0.139758864
