Zip,City,SRO, 0 BR, 1BR, 2BR, 3BR, 4BR, 5BR, 6BR, 7 BR, 8 BR,avg_per_bed
2745,Dartmouth,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2740,New Bedford,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2744,New Bedford,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2746,New Bedford,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2745,New Bedford,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2748,Dartmouth,732,976,1145,1390,1681,1947,2239,2531,2823,3115,613.9308201058201
2747,Dartmouth,737,983,1154,1400,1693,1961,2255,2549,2844,3137,618.4252645502646
2743,Acushnet,809,1079,1266,1537,1858,2152,2474,2797,3120,3442,678.6404761904762
2719,Fairhaven,824,1099,1290,1565,1893,2192,2521,2849,3179,3507,691.3390211640212
2720,Fall River,919,1226,1329,1609,1946,2411,2772,3133,3495,3856,740.9743386243385
2790,Westport,919,1226,1329,1609,1946,2411,2772,3133,3495,3856,740.9743386243385
2721,Fall River,919,1226,1329,1609,1946,2411,2772,3133,3495,3856,740.9743386243385
2723,Fall River,919,1226,1329,1609,1946,2411,2772,3133,3495,3856,740.9743386243385
2724,Fall River,919,1226,1329,1609,1946,2411,2772,3133,3495,3856,740.9743386243385
2780,Taunton,887,1184,1329,1746,2205,2360,2713,3067,3420,3775,747.2458994708994
1832,Haverhill,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1830,Haverhill,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1835,Haverhill,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1843,Lawrence,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1841,Lawrence,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1844,Methuen,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1840,Lawrence,926,1235,1410,1822,2214,2427,2790,3154,3518,3882,774.6931216931217
1850,Lowell,976,1302,1443,1896,2293,2526,2904,3283,3661,4041,804.9916666666667
1851,Lowell,976,1302,1443,1896,2293,2526,2904,3283,3661,4041,804.9916666666667
1854,Lowell,976,1302,1443,1896,2293,2526,2904,3283,3661,4041,804.9916666666667
1862,North Billerica,976,1302,1443,1896,2293,2526,2904,3283,3661,4041,804.9916666666667
