Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250001011,544,189,223,100,220,101,3,5,3,5,0,14,0,14,0,14,0,14,171,100,129,87,33,25,9,10,0,14,0,14,0,14,0,14,58,55,48,58,4,7,40,33,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,442,157,309,152,221,106,88,65,88,65,0,14,0,14,0,14,0,14,30,24,30,24,0,14,0,14,0,14,0,14,0,14,0,14,26,29,39,42,0,14,38,29,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,790,364,344,209,315,209,29,44,29,44,0,14,0,14,0,14,0,14,287,211,184,196,42,60,61,71,0,14,0,14,21,24,0,14,17,21,11,18,0,14,110,132,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1752,664,1088,721,1018,719,70,52,70,52,0,14,0,14,0,14,0,14,332,260,134,107,59,61,139,228,0,14,0,14,0,14,0,14,37,56,84,61,0,14,211,127,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,671,209,534,213,434,164,100,76,100,76,0,14,0,14,0,14,0,14,70,36,64,36,6,10,0,14,0,14,0,14,0,14,0,14,23,25,7,11,0,14,37,29,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,789,293,573,269,530,259,43,59,43,59,0,14,0,14,0,14,0,14,91,63,91,63,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,125,78,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,771,207,446,175,384,150,62,64,27,32,35,55,0,14,0,14,0,14,186,104,177,103,9,13,0,14,0,14,0,14,0,14,0,14,0,14,0,14,60,60,79,54,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,730,237,361,135,265,111,96,82,68,73,28,43,0,14,0,14,0,14,241,143,220,143,10,15,0,14,11,17,0,14,0,14,0,14,12,18,54,58,0,14,62,63,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,446,130,263,113,239,111,24,26,9,15,15,24,0,14,0,14,0,14,88,49,88,49,0,14,0,14,0,14,0,14,0,14,0,14,0,14,36,32,0,14,59,49,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,480,211,335,159,306,152,29,46,29,46,0,14,0,14,0,14,0,14,39,52,39,52,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,106,117,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,1393,335,742,254,665,218,77,66,50,60,11,16,0,14,0,14,16,27,320,100,224,84,48,42,37,43,11,18,0,14,0,14,0,14,15,17,158,102,0,14,158,97,3,2.02,Suffolk County,Massachusetts
1500000US250250003011,443,215,255,141,243,137,12,18,0,14,0,14,0,14,0,14,12,18,39,42,39,42,0,14,0,14,0,14,0,14,0,14,0,14,6,11,48,73,0,14,95,87,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,443,195,239,149,215,146,24,30,24,30,0,14,0,14,0,14,0,14,61,55,49,49,0,14,12,20,0,14,0,14,0,14,0,14,0,14,10,17,0,14,133,82,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,488,185,218,105,194,85,24,38,24,38,0,14,0,14,0,14,0,14,127,64,97,68,0,14,30,33,0,14,0,14,0,14,0,14,0,14,61,95,10,17,72,52,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,575,193,159,79,153,78,6,9,6,9,0,14,0,14,0,14,0,14,309,188,187,107,105,134,9,14,8,13,0,14,0,14,0,14,0,14,4,7,0,14,103,65,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,916,271,522,171,412,168,110,87,110,87,0,14,0,14,0,14,0,14,235,123,172,86,63,73,0,14,0,14,0,14,0,14,0,14,6,11,60,79,45,46,48,36,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,1392,589,976,545,863,545,113,63,113,63,0,14,0,14,0,14,0,14,178,71,104,64,74,47,0,14,0,14,0,14,0,14,0,14,0,14,87,89,0,14,151,95,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1433,352,389,172,318,163,71,74,71,74,0,14,0,14,0,14,0,14,745,321,382,273,277,124,0,14,86,82,0,14,0,14,0,14,50,78,34,32,0,14,215,104,1,4.01,Suffolk County,Massachusetts
