"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home",
"1500000US250250001001","Block Group 1, Census Tract 1, Suffolk County, Massachusetts","758","327","524","259","515","260","9","14","9","14","0","12","0","12","0","12","0","12","200","195","193","194","0","12","7","12","0","12","0","12","0","12","0","12","0","12","29","36","0","12","5","9",
"1500000US250250001002","Block Group 2, Census Tract 1, Suffolk County, Massachusetts","534","196","232","124","203","90","29","46","29","46","0","12","0","12","0","12","0","12","120","91","54","47","0","12","57","57","9","15","0","12","0","12","8","12","19","24","138","129","0","12","17","19",
"1500000US250250001003","Block Group 3, Census Tract 1, Suffolk County, Massachusetts","240","81","132","65","132","65","0","12","0","12","0","12","0","12","0","12","0","12","52","41","25","35","0","12","27","20","0","12","0","12","0","12","0","12","8","13","48","43","0","12","0","12",
"1500000US250250001004","Block Group 4, Census Tract 1, Suffolk County, Massachusetts","270","140","192","121","192","121","0","12","0","12","0","12","0","12","0","12","0","12","26","20","18","20","0","12","8","13","0","12","0","12","0","12","0","12","32","29","0","12","0","12","20","31",
"1500000US250250002011","Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts","451","133","351","116","285","108","66","50","55","43","0","12","0","12","11","18","0","12","61","37","39","35","0","12","22","25","0","12","0","12","0","12","0","12","0","12","8","13","0","12","31","24",
"1500000US250250002012","Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts","322","150","225","121","225","121","0","12","0","12","0","12","0","12","0","12","0","12","57","67","57","67","0","12","0","12","0","12","0","12","0","12","0","12","0","12","27","28","0","12","13","16",
"1500000US250250002013","Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts","969","237","559","178","559","178","0","12","0","12","0","12","0","12","0","12","0","12","306","132","202","91","64","84","40","45","0","12","0","12","0","12","0","12","16","19","80","63","8","13","0","12",
"1500000US250250002014","Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts","404","112","285","107","243","99","42","46","28","38","14","21","0","12","0","12","0","12","69","43","61","40","8","12","0","12","0","12","0","12","0","12","0","12","9","13","8","13","0","12","33","32",
"1500000US250250002021","Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts","706","202","492","179","464","174","28","36","28","36","0","12","0","12","0","12","0","12","76","50","49","37","0","12","27","36","0","12","0","12","0","12","0","12","27","33","66","62","0","12","45","32",
