Geography,Total Estimate,Total Margin of Error,"Estimate - Car, truck, or van:","Margin of Error - Car, truck, or van:","Estimate - Car, truck, or van: - Drove alone","Margin of Error - Car, truck, or van: - Drove alone","Estimate - Car, truck, or van: - Carpooled:","Margin of Error - Car, truck, or van: - Carpooled:","Estimate - Car, truck, or van: - In 2-person carpool","Margin of Error - Car, truck, or van: - In 2-person carpool","Estimate - Car, truck, or van: - In 3-person carpool","Margin of Error - Car, truck, or van: - In 3-person carpool","Estimate - Car, truck, or van: - In 4-person carpool","Margin of Error - Car, truck, or van: - In 4-person carpool","Estimate - Car, truck, or van: - In 5- or 6-person carpool","Margin of Error - Car, truck, or van: - In 5- or 6-person carpool","Estimate - Car, truck, or van: - In 7-or-more-person carpool","Margin of Error - Car, truck, or van: - In 7-or-more-person carpool",Estimate - Public transportation (excluding taxicab):,Margin of Error - Public transportation (excluding taxicab):,Estimate - Public transportation (excluding taxicab): - Bus,Margin of Error - Public transportation (excluding taxicab): - Bus,Estimate - Public transportation (excluding taxicab): - Subway or elevated rail,Margin of Error - Public transportation (excluding taxicab): - Subway or elevated rail,Estimate - Public transportation (excluding taxicab): - Long-distance train or commuter rail,Margin of Error - Public transportation (excluding taxicab): - Long-distance train or commuter rail,"Estimate - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error - Public transportation (excluding taxicab): - Light rail, streetcar or trolley (carro público in Puerto Rico)",Estimate - Public transportation (excluding taxicab): - Ferryboat,Margin of Error - Public transportation (excluding taxicab): - Ferryboat,Estimate - Taxicab,Margin of Error - Taxicab,Estimate - Motorcycle,Margin of Error - Motorcycle,Estimate - Bicycle,Margin of Error - Bicycle,Estimate - Walked,Margin of Error - Walked,Estimate - Other means,Margin of Error - Other means,Estimate - Worked from home,Margin of Error - Worked from home,Block Group,Census Tract,County,State
1500000US250250001001,1189,258,803,235,730,233,73,50,73,50,0,12,0,12,0,12,0,12,289,133,210,121,79,57,0,12,0,12,0,12,0,12,0,12,29,29,34,34,0,12,34,30,1,1,Suffolk County,Massachusetts
1500000US250250001002,790,191,463,143,410,140,53,49,16,18,0,12,19,34,18,30,0,12,259,169,129,73,130,102,0,12,0,12,0,12,6,9,0,12,27,24,35,31,0,12,0,12,2,1,Suffolk County,Massachusetts
1500000US250250001003,550,163,273,150,249,141,24,37,24,37,0,12,0,12,0,12,0,12,76,59,31,26,45,54,0,12,0,12,0,12,0,12,0,12,102,55,74,48,0,12,25,25,3,1,Suffolk County,Massachusetts
1500000US250250001004,1037,311,649,269,596,265,53,63,53,63,0,12,0,12,0,12,0,12,259,89,161,67,43,52,55,60,0,12,0,12,28,25,0,12,30,29,53,49,0,12,18,23,4,1,Suffolk County,Massachusetts
1500000US250250002011,925,212,632,190,535,184,97,55,97,55,0,12,0,12,0,12,0,12,236,96,186,94,39,30,0,12,11,14,0,12,0,12,0,12,37,34,5,7,0,12,15,21,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,472,202,357,192,321,174,36,34,36,34,0,12,0,12,0,12,0,12,90,61,72,54,11,17,0,12,7,11,0,12,0,12,0,12,4,7,12,18,0,12,9,14,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,873,191,562,136,512,126,50,45,39,33,0,12,0,12,0,12,11,17,175,77,170,77,5,8,0,12,0,12,0,12,0,12,0,12,78,70,17,28,0,12,41,42,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,680,207,449,156,325,150,124,64,78,54,20,30,26,39,0,12,0,12,189,99,178,98,0,12,0,12,11,17,0,12,0,12,0,12,0,12,19,21,0,12,23,39,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,1173,274,679,166,619,159,60,55,27,32,11,18,22,26,0,12,0,12,361,107,287,99,74,49,0,12,0,12,0,12,0,12,0,12,63,66,51,53,0,12,19,22,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,661,146,482,136,447,145,35,39,19,30,16,24,0,12,0,12,0,12,158,86,158,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,14,0,12,9,15,2,2.02,Suffolk County,Massachusetts
