"GEO_ID","NAME","B08302_001E","B08302_001M","B08302_002E","B08302_002M","B08302_003E","B08302_003M","B08302_004E","B08302_004M","B08302_005E","B08302_005M","B08302_006E","B08302_006M","B08302_007E","B08302_007M","B08302_008E","B08302_008M","B08302_009E","B08302_009M","B08302_010E","B08302_010M","B08302_011E","B08302_011M","B08302_012E","B08302_012M","B08302_013E","B08302_013M","B08302_014E","B08302_014M","B08302_015E","B08302_015M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!12:00 a.m. to 4:59 a.m.","Margin of Error!!Total!!12:00 a.m. to 4:59 a.m.","Estimate!!Total!!5:00 a.m. to 5:29 a.m.","Margin of Error!!Total!!5:00 a.m. to 5:29 a.m.","Estimate!!Total!!5:30 a.m. to 5:59 a.m.","Margin of Error!!Total!!5:30 a.m. to 5:59 a.m.","Estimate!!Total!!6:00 a.m. to 6:29 a.m.","Margin of Error!!Total!!6:00 a.m. to 6:29 a.m.","Estimate!!Total!!6:30 a.m. to 6:59 a.m.","Margin of Error!!Total!!6:30 a.m. to 6:59 a.m.","Estimate!!Total!!7:00 a.m. to 7:29 a.m.","Margin of Error!!Total!!7:00 a.m. to 7:29 a.m.","Estimate!!Total!!7:30 a.m. to 7:59 a.m.","Margin of Error!!Total!!7:30 a.m. to 7:59 a.m.","Estimate!!Total!!8:00 a.m. to 8:29 a.m.","Margin of Error!!Total!!8:00 a.m. to 8:29 a.m.","Estimate!!Total!!8:30 a.m. to 8:59 a.m.","Margin of Error!!Total!!8:30 a.m. to 8:59 a.m.","Estimate!!Total!!9:00 a.m. to 9:59 a.m.","Margin of Error!!Total!!9:00 a.m. to 9:59 a.m.","Estimate!!Total!!10:00 a.m. to 10:59 a.m.","Margin of Error!!Total!!10:00 a.m. to 10:59 a.m.","Estimate!!Total!!11:00 a.m. to 11:59 a.m.","Margin of Error!!Total!!11:00 a.m. to 11:59 a.m.","Estimate!!Total!!12:00 p.m. to 3:59 p.m.","Margin of Error!!Total!!12:00 p.m. to 3:59 p.m.","Estimate!!Total!!4:00 p.m. to 11:59 p.m.","Margin of Error!!Total!!4:00 p.m. to 11:59 p.m.",
"1500000US250250001001","Block Group 1, Census Tract 1, Suffolk County, Massachusetts","753","327","75","63","0","12","0","12","71","66","134","185","107","80","55","54","217","195","0","12","76","47","0","12","0","12","0","12","18","36",
"1500000US250250001002","Block Group 2, Census Tract 1, Suffolk County, Massachusetts","517","199","0","12","10","16","38","49","53","50","0","12","74","61","48","60","100","75","38","49","20","26","9","14","0","12","114","123","13","20",
"1500000US250250001003","Block Group 3, Census Tract 1, Suffolk County, Massachusetts","240","81","0","12","0","12","5","12","0","12","9","14","35","37","32","27","81","47","54","43","16","19","8","14","0","12","0","12","0","12",
"1500000US250250001004","Block Group 4, Census Tract 1, Suffolk County, Massachusetts","250","129","7","11","0","12","0","12","16","18","20","22","60","44","16","18","9","14","0","12","47","47","43","48","0","12","12","18","20","33",
"1500000US250250002011","Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts","420","127","0","12","0","12","20","32","0","12","28","25","132","92","49","43","53","46","38","31","27","32","11","19","14","22","8","14","40","34",
"1500000US250250002012","Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts","309","151","0","12","21","23","0","12","51","69","9","13","58","60","13","20","29","32","0","12","45","36","13","20","0","12","15","16","55","52",
"1500000US250250002013","Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts","969","237","0","12","8","12","0","12","25","28","156","81","181","80","62","42","254","109","80","61","14","22","10","16","7","13","95","75","77","58",
"1500000US250250002014","Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts","371","112","0","12","0","12","0","12","0","12","20","22","80","55","55","43","71","49","47","39","18","21","28","44","29","36","23","27","0","12",
"1500000US250250002021","Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts","661","199","0","12","33","56","0","12","31","36","41","35","117","73","51","47","197","107","50","48","33","31","26","30","0","12","49","64","33","27",
