Geography,Total Estimate,Total Margin of Error,Estimate - 12:00 a.m. to 4:59 a.m.,Margin of Error - 12:00 a.m. to 4:59 a.m.,Estimate - 5:00 a.m. to 5:29 a.m.,Margin of Error - 5:00 a.m. to 5:29 a.m.,Estimate - 5:30 a.m. to 5:59 a.m.,Margin of Error - 5:30 a.m. to 5:59 a.m.,Estimate - 6:00 a.m. to 6:29 a.m.,Margin of Error - 6:00 a.m. to 6:29 a.m.,Estimate - 6:30 a.m. to 6:59 a.m.,Margin of Error - 6:30 a.m. to 6:59 a.m.,Estimate - 7:00 a.m. to 7:29 a.m.,Margin of Error - 7:00 a.m. to 7:29 a.m.,Estimate - 7:30 a.m. to 7:59 a.m.,Margin of Error - 7:30 a.m. to 7:59 a.m.,Estimate - 8:00 a.m. to 8:29 a.m.,Margin of Error - 8:00 a.m. to 8:29 a.m.,Estimate - 8:30 a.m. to 8:59 a.m.,Margin of Error - 8:30 a.m. to 8:59 a.m.,Estimate - 9:00 a.m. to 9:59 a.m.,Margin of Error - 9:00 a.m. to 9:59 a.m.,Estimate - 10:00 a.m. to 10:59 a.m.,Margin of Error - 10:00 a.m. to 10:59 a.m.,Estimate - 11:00 a.m. to 11:59 a.m.,Margin of Error - 11:00 a.m. to 11:59 a.m.,Estimate - 12:00 p.m. to 3:59 p.m.,Margin of Error - 12:00 p.m. to 3:59 p.m.,Estimate - 4:00 p.m. to 11:59 p.m.,Margin of Error - 4:00 p.m. to 11:59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,753,327,75,63,0,12,0,12,71,66,134,185,107,80,55,54,217,195,0,12,76,47,0,12,0,12,0,12,18,36,1,1,Suffolk County,Massachusetts
1500000US250250001002,517,199,0,12,10,16,38,49,53,50,0,12,74,61,48,60,100,75,38,49,20,26,9,14,0,12,114,123,13,20,2,1,Suffolk County,Massachusetts
1500000US250250001003,240,81,0,12,0,12,5,12,0,12,9,14,35,37,32,27,81,47,54,43,16,19,8,14,0,12,0,12,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,250,129,7,11,0,12,0,12,16,18,20,22,60,44,16,18,9,14,0,12,47,47,43,48,0,12,12,18,20,33,4,1,Suffolk County,Massachusetts
1500000US250250002011,420,127,0,12,0,12,20,32,0,12,28,25,132,92,49,43,53,46,38,31,27,32,11,19,14,22,8,14,40,34,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,309,151,0,12,21,23,0,12,51,69,9,13,58,60,13,20,29,32,0,12,45,36,13,20,0,12,15,16,55,52,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,969,237,0,12,8,12,0,12,25,28,156,81,181,80,62,42,254,109,80,61,14,22,10,16,7,13,95,75,77,58,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,371,112,0,12,0,12,0,12,0,12,20,22,80,55,55,43,71,49,47,39,18,21,28,44,29,36,23,27,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,661,199,0,12,33,56,0,12,31,36,41,35,117,73,51,47,197,107,50,48,33,31,26,30,0,12,49,64,33,27,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,501,196,0,12,0,12,23,32,0,12,0,12,124,100,36,31,165,105,5,10,45,38,44,44,0,12,24,27,35,37,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,364,188,0,12,0,12,9,21,39,49,43,50,60,47,69,45,95,64,0,12,17,23,0,12,0,12,32,45,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,199,96,0,12,0,12,8,13,11,17,28,32,35,43,0,12,10,17,31,31,25,28,0,12,0,12,38,37,13,19,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,232,92,8,14,0,12,11,17,14,22,11,16,25,28,64,58,17,15,0,12,56,38,8,16,0,12,0,12,18,23,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,375,108,0,12,0,12,0,12,0,12,74,57,38,47,0,12,84,39,56,45,79,46,25,29,19,28,0,12,0,12,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,356,156,0,12,0,12,0,12,12,20,41,34,95,66,39,34,78,65,68,69,15,24,0,12,0,12,0,12,8,14,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,304,123,0,12,0,12,0,12,26,23,55,44,12,21,12,17,135,115,0,12,30,29,0,12,0,12,26,30,8,14,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,617,173,0,12,0,12,36,42,75,46,42,36,84,44,59,42,124,65,19,23,56,44,24,30,27,30,71,53,0,12,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,1095,259,14,21,9,15,46,73,68,51,55,42,69,62,200,104,252,107,145,92,74,56,35,32,8,14,64,46,56,49,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1024,277,0,12,0,12,9,14,78,78,136,102,94,71,97,82,137,85,185,93,57,47,75,52,0,12,51,41,105,71,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,435,166,12,20,9,14,0,12,0,12,12,18,41,66,35,33,86,49,41,38,29,28,60,51,11,18,61,80,38,58,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,575,166,0,12,0,12,0,12,72,46,58,61,67,48,47,39,212,103,10,16,13,21,33,39,0,12,32,41,31,35,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,448,151,9,14,0,12,11,17,50,60,13,21,11,19,60,44,67,50,60,39,34,40,0,12,37,29,83,70,13,20,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,587,145,10,15,0,12,7,11,40,26,66,42,26,22,69,40,111,54,45,28,18,18,16,16,9,14,96,66,74,64,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,406,175,0,12,7,12,22,33,2,8,47,52,103,95,5,10,127,103,48,33,0,12,0,12,0,12,20,29,25,41,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,688,206,0,12,0,12,0,12,0,12,47,39,193,182,90,49,225,156,50,36,58,40,3,8,0,12,14,18,8,14,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,429,146,0,12,0,12,7,12,9,13,27,22,103,75,65,39,59,51,0,12,57,45,0,12,0,12,21,18,81,62,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,281,87,0,12,0,12,14,16,0,12,0,12,87,61,32,31,46,31,27,29,29,32,0,12,0,12,30,37,16,17,2,5.02,Suffolk County,Massachusetts
