Geography,Total Estimate,Total Margin of Error,Estimate - 12 00 a.m. to 4 59 a.m.,Margin of Error - 12 00 a.m. to 4 59 a.m.,Estimate - 5 00 a.m. to 5 29 a.m.,Margin of Error - 5 00 a.m. to 5 29 a.m.,Estimate - 5 30 a.m. to 5 59 a.m.,Margin of Error - 5 30 a.m. to 5 59 a.m.,Estimate - 6 00 a.m. to 6 29 a.m.,Margin of Error - 6 00 a.m. to 6 29 a.m.,Estimate - 6 30 a.m. to 6 59 a.m.,Margin of Error - 6 30 a.m. to 6 59 a.m.,Estimate - 7 00 a.m. to 7 29 a.m.,Margin of Error - 7 00 a.m. to 7 29 a.m.,Estimate - 7 30 a.m. to 7 59 a.m.,Margin of Error - 7 30 a.m. to 7 59 a.m.,Estimate - 8 00 a.m. to 8 29 a.m.,Margin of Error - 8 00 a.m. to 8 29 a.m.,Estimate - 8 30 a.m. to 8 59 a.m.,Margin of Error - 8 30 a.m. to 8 59 a.m.,Estimate - 9 00 a.m. to 9 59 a.m.,Margin of Error - 9 00 a.m. to 9 59 a.m.,Estimate - 10 00 a.m. to 10 59 a.m.,Margin of Error - 10 00 a.m. to 10 59 a.m.,Estimate - 11 00 a.m. to 11 59 a.m.,Margin of Error - 11 00 a.m. to 11 59 a.m.,Estimate - 12 00 p.m. to 3 59 p.m.,Margin of Error - 12 00 p.m. to 3 59 p.m.,Estimate - 4 00 p.m. to 11 59 p.m.,Margin of Error - 4 00 p.m. to 11 59 p.m.,Block Group,Census Tract,County,State
1500000US250250001001,970,257,29,37,0,12,26,36,0,12,21,23,149,114,183,90,229,125,100,96,175,125,0,12,0,12,58,53,0,12,1,1,Suffolk County,Massachusetts
1500000US250250001002,689,196,0,12,28,35,72,80,28,47,9,14,70,75,93,48,124,63,20,21,34,33,96,71,19,24,68,43,28,34,2,1,Suffolk County,Massachusetts
1500000US250250001003,369,138,0,12,0,12,4,9,9,14,33,35,10,13,73,48,36,33,19,21,61,40,55,49,20,21,49,35,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,685,235,9,13,0,12,26,43,61,66,20,32,191,124,106,58,84,58,38,38,43,45,47,36,0,12,0,12,60,54,4,1,Suffolk County,Massachusetts
1500000US250250002011,707,167,16,18,0,12,34,37,46,37,41,43,253,113,78,56,93,51,8,12,67,47,9,14,0,12,10,12,52,43,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,514,191,0,12,14,16,0,12,36,35,29,26,110,76,43,51,43,48,98,104,78,63,16,20,0,12,20,22,27,34,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,853,185,11,18,18,26,0,12,11,13,95,52,175,77,80,44,184,83,38,39,71,54,37,24,9,16,94,66,30,35,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,443,137,0,12,22,25,0,12,34,35,78,52,26,19,45,34,126,54,27,25,22,20,15,17,0,12,22,26,26,45,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,765,193,26,40,0,12,0,12,49,36,30,33,148,65,164,80,142,73,37,27,58,48,51,47,6,12,21,25,33,38,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,774,195,0,12,9,14,30,38,31,27,6,10,89,59,99,62,177,97,80,56,130,68,28,26,0,12,11,18,84,53,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,436,144,0,12,0,12,0,12,40,34,18,23,122,73,50,35,114,66,19,31,38,43,24,35,0,12,7,17,4,10,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,194,90,0,12,0,12,0,12,12,19,34,32,4,7,21,30,48,36,6,9,6,10,0,12,23,33,27,43,13,20,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,414,153,0,12,22,26,54,61,34,34,26,29,28,26,11,17,76,65,83,96,29,28,0,12,0,12,11,18,40,33,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,605,198,0,12,0,12,13,20,82,73,29,34,57,36,41,27,204,106,52,40,26,28,15,23,0,12,30,48,56,48,2,3.01,Suffolk County,Massachusetts
