Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001011,506,163,0,13,4,12,83,60,47,43,28,27,47,49,163,78,27,28,10,9,84,52,13,18,0,13,1,1.01,Suffolk County,Massachusetts
1500000US250250001012,528,156,0,13,22,34,27,23,79,62,56,39,47,42,142,72,37,43,12,19,71,38,21,24,14,23,2,1.01,Suffolk County,Massachusetts
1500000US250250001021,902,328,0,13,6,9,114,82,124,173,93,71,17,21,290,146,33,36,66,41,154,102,5,9,0,13,1,1.02,Suffolk County,Massachusetts
1500000US250250001022,1631,730,52,67,117,114,34,36,506,436,89,71,0,13,374,199,64,97,223,211,66,41,106,134,0,13,2,1.02,Suffolk County,Massachusetts
1500000US250250002011,842,218,0,13,17,24,41,42,80,44,115,60,73,54,220,164,112,123,0,13,86,50,63,34,35,25,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,513,269,0,13,0,13,10,15,77,67,22,25,11,18,97,50,11,17,25,20,246,241,14,18,0,13,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,687,183,0,13,18,20,67,62,117,107,30,29,66,57,141,63,59,48,49,49,85,51,55,63,0,13,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,674,227,0,13,30,53,36,34,49,37,158,101,0,13,154,149,19,23,107,158,70,43,51,37,0,13,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,403,109,0,13,19,22,53,45,46,34,17,23,33,29,50,43,11,17,46,57,94,58,34,26,0,13,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,369,140,0,13,0,13,101,71,0,13,52,41,0,13,123,88,0,13,20,33,22,35,36,58,15,25,2,2.02,Suffolk County,Massachusetts
