"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"1500000US250250001011","Block Group 1; Census Tract 1.01; Suffolk County; Massachusetts","504","186","0","14","3","7","96","71","52","35","17","17","42","60","129","74","13","16","37","44","97","55","18","20","0","14",
"1500000US250250001012","Block Group 2; Census Tract 1.01; Suffolk County; Massachusetts","404","159","0","14","30","35","15","17","59","58","40","36","34","38","106","70","39","45","22","24","18","26","15","23","26","36",
"1500000US250250001021","Block Group 1; Census Tract 1.02; Suffolk County; Massachusetts","680","358","0","14","0","14","116","109","10","16","69","85","8","12","184","145","45","42","65","43","177","120","6","10","0","14",
"1500000US250250001022","Block Group 2; Census Tract 1.02; Suffolk County; Massachusetts","1541","624","0","14","43","35","86","57","550","433","99","113","55","75","212","145","77","101","200","215","107","81","112","140","0","14",
"1500000US250250002011","Block Group 1; Census Tract 2.01; Suffolk County; Massachusetts","634","212","0","14","18","24","53","53","30","22","73","53","68","53","238","173","15","16","0","14","81","57","38","29","20","21",
"1500000US250250002012","Block Group 2; Census Tract 2.01; Suffolk County; Massachusetts","664","262","0","14","0","14","33","32","132","109","29","30","0","14","107","57","27","44","43","37","282","234","11","17","0","14",
"1500000US250250002013","Block Group 3; Census Tract 2.01; Suffolk County; Massachusetts","692","204","0","14","9","14","59","66","136","113","27","32","59","49","174","79","55","45","22","24","99","80","52","60","0","14",
"1500000US250250002014","Block Group 4; Census Tract 2.01; Suffolk County; Massachusetts","668","241","0","14","31","53","51","45","59","43","107","84","4","7","160","116","19","22","118","159","64","53","45","38","10","15",
"1500000US250250002021","Block Group 1; Census Tract 2.02; Suffolk County; Massachusetts","387","135","0","14","24","26","34","38","28","27","43","42","38","35","34","27","12","19","9","15","112","61","53","49","0","14",
"1500000US250250002022","Block Group 2; Census Tract 2.02; Suffolk County; Massachusetts","374","176","0","14","0","14","60","52","0","14","88","90","0","14","161","113","0","14","0","14","23","35","42","72","0","14",
"1500000US250250002023","Block Group 3; Census Tract 2.02; Suffolk County; Massachusetts","1235","314","42","52","91","71","71","55","81","70","248","103","47","40","133","63","74","65","84","57","204","102","90","63","70","84",
"1500000US250250003011","Block Group 1; Census Tract 3.01; Suffolk County; Massachusetts","348","209","21","35","0","14","4","6","114","118","53","49","35","35","37","49","11","16","18","22","9","14","38","42","8","12",
"1500000US250250003012","Block Group 2; Census Tract 3.01; Suffolk County; Massachusetts","310","166","10","17","0","14","18","28","57","69","35","34","0","14","91","91","0","14","8","13","75","64","16","24","0","14",
"1500000US250250003013","Block Group 3; Census Tract 3.01; Suffolk County; Massachusetts","416","170","0","14","0","14","26","30","42","46","74","63","5","7","66","55","74","54","56","72","32","38","41","55","0","14",
"1500000US250250003014","Block Group 4; Census Tract 3.01; Suffolk County; Massachusetts","472","200","0","14","13","15","10","17","47","33","4","7","37","41","49","34","39","38","19","22","246","186","8","14","0","14",
"1500000US250250003021","Block Group 1; Census Tract 3.02; Suffolk County; Massachusetts","868","260","0","14","62","52","9","15","92","69","83","68","78","82","243","135","17","19","100","101","116","76","37","29","31","49",
"1500000US250250003022","Block Group 2; Census Tract 3.02; Suffolk County; Massachusetts","1241","576","0","14","60","76","172","102","74","58","423","349","195","208","125","77","32","32","38","35","67","51","34","39","21","25",
"1500000US250250004011","Block Group 1; Census Tract 4.01; Suffolk County; Massachusetts","1218","354","0","14","0","14","81","62","13","20","80","78","56","70","280","185","38","44","91","75","345","286","223","89","11","18",
"1500000US250250004012","Block Group 2; Census Tract 4.01; Suffolk County; Massachusetts","669","250","0","14","15","18","170","206","32","30","29","33","50","43","70","45","28","37","81","79","35","36","159","97","0","14",
"1500000US250250004013","Block Group 3; Census Tract 4.01; Suffolk County; Massachusetts","406","159","43","54","0","14","47","72","18","27","28","39","75","76","124","82","14","27","0","14","25","30","32","39","0","14",
"1500000US250250004014","Block Group 4; Census Tract 4.01; Suffolk County; Massachusetts","630","267","39","51","10","21","42","47","52","59","215","183","42","41","12","19","9","16","15","23","86","96","108","97","0","14",
"1500000US250250004021","Block Group 1; Census Tract 4.02; Suffolk County; Massachusetts","623","151","8","13","28","25","20","22","28","27","153","81","28","25","106","71","27","36","61","50","42","28","86","48","36","44",
"1500000US250250004022","Block Group 2; Census Tract 4.02; Suffolk County; Massachusetts","379","181","32","42","9","13","50","39","42","33","49","76","20","31","65","80","5","8","20","15","69","55","14","19","4","7",
"1500000US250250004023","Block Group 3; Census Tract 4.02; Suffolk County; Massachusetts","642","286","0","14","9","15","56","62","39","41","226","222","27","20","88","61","16","14","13","17","83","56","54","40","31","50",
"1500000US250250005021","Block Group 1; Census Tract 5.02; Suffolk County; Massachusetts","629","288","0","14","100","137","44","48","60","41","109","111","17","21","25","27","10","12","72","55","159","90","33","34","0","14",
