Geography,Total Estimate,Total Margin of Error,Estimate - Less than 5 minutes,Margin of Error - Less than 5 minutes,Estimate - 5 to 9 minutes,Margin of Error - 5 to 9 minutes,Estimate - 10 to 14 minutes,Margin of Error - 10 to 14 minutes,Estimate - 15 to 19 minutes,Margin of Error - 15 to 19 minutes,Estimate - 20 to 24 minutes,Margin of Error - 20 to 24 minutes,Estimate - 25 to 29 minutes,Margin of Error - 25 to 29 minutes,Estimate - 30 to 34 minutes,Margin of Error - 30 to 34 minutes,Estimate - 35 to 39 minutes,Margin of Error - 35 to 39 minutes,Estimate - 40 to 44 minutes,Margin of Error - 40 to 44 minutes,Estimate - 45 to 59 minutes,Margin of Error - 45 to 59 minutes,Estimate - 60 to 89 minutes,Margin of Error - 60 to 89 minutes,Estimate - 90 or more minutes,Margin of Error - 90 or more minutes,Block Group,Census Tract,County,State
1500000US250250001001,680,330,8,17,10,17,51,61,59,57,110,120,0,12,288,196,36,30,23,27,51,46,37,34,7,11,1,1,Suffolk County,Massachusetts
1500000US250250001002,553,186,10,16,46,57,25,25,120,112,73,54,17,19,82,63,0,12,47,52,85,52,41,36,7,10,2,1,Suffolk County,Massachusetts
1500000US250250001003,248,81,16,24,38,40,33,35,7,11,24,24,7,12,34,44,19,26,9,13,12,22,49,43,0,12,3,1,Suffolk County,Massachusetts
1500000US250250001004,248,139,0,12,19,23,24,22,61,58,12,19,31,39,35,46,43,61,0,12,23,28,0,12,0,12,4,1,Suffolk County,Massachusetts
1500000US250250002011,460,122,0,12,21,22,58,43,67,38,139,65,4,7,57,46,17,19,25,22,48,35,24,29,0,12,1,2.01,Suffolk County,Massachusetts
1500000US250250002012,273,122,0,12,11,17,43,42,64,45,9,16,60,65,20,30,9,15,0,12,48,49,9,14,0,12,2,2.01,Suffolk County,Massachusetts
1500000US250250002013,935,213,36,41,35,30,38,35,105,70,196,152,48,33,179,81,0,12,77,45,93,99,110,59,18,23,3,2.01,Suffolk County,Massachusetts
1500000US250250002014,366,92,0,12,0,12,26,42,26,30,61,45,27,25,82,39,18,15,30,27,87,53,9,14,0,12,4,2.01,Suffolk County,Massachusetts
1500000US250250002021,509,176,0,12,56,40,28,41,29,28,59,52,26,27,209,113,0,12,50,61,45,51,0,12,7,10,1,2.02,Suffolk County,Massachusetts
1500000US250250002022,627,221,0,12,25,40,40,52,55,34,103,73,69,76,142,69,9,13,62,48,43,29,70,50,9,18,2,2.02,Suffolk County,Massachusetts
1500000US250250002023,413,145,7,14,14,23,9,15,42,52,9,14,55,37,163,96,0,12,44,37,70,47,0,12,0,12,3,2.02,Suffolk County,Massachusetts
1500000US250250002024,179,98,33,46,12,20,0,12,15,16,23,26,11,18,16,22,0,12,17,27,52,57,0,12,0,12,4,2.02,Suffolk County,Massachusetts
1500000US250250003011,250,97,0,12,37,58,30,27,8,12,21,23,9,14,100,48,12,21,2,15,10,17,21,24,0,12,1,3.01,Suffolk County,Massachusetts
1500000US250250003012,518,236,0,12,0,12,80,52,41,34,9,15,4,8,202,179,0,12,77,58,88,79,17,28,0,12,2,3.01,Suffolk County,Massachusetts
1500000US250250003013,333,142,0,12,25,22,57,67,8,15,80,54,47,33,27,35,19,22,12,20,34,33,24,28,0,12,3,3.01,Suffolk County,Massachusetts
1500000US250250003014,273,74,0,12,33,27,9,14,25,29,74,46,24,25,63,35,16,21,9,14,0,12,20,21,0,12,4,3.01,Suffolk County,Massachusetts
1500000US250250003021,552,166,0,12,0,12,18,27,73,54,78,53,33,29,116,68,55,37,38,37,33,33,84,77,24,27,1,3.02,Suffolk County,Massachusetts
1500000US250250003022,995,269,7,11,60,46,23,26,124,102,172,74,127,55,89,51,53,37,165,155,104,83,70,49,1,3,2,3.02,Suffolk County,Massachusetts
1500000US250250004011,1039,302,0,12,38,58,21,25,113,88,163,92,132,99,134,76,12,19,81,87,154,78,148,143,43,41,1,4.01,Suffolk County,Massachusetts
1500000US250250004012,450,190,0,12,0,12,13,20,107,83,64,75,0,12,120,98,37,43,14,23,74,59,21,25,0,12,2,4.01,Suffolk County,Massachusetts
1500000US250250004013,596,183,0,12,0,12,65,46,148,106,48,41,127,85,57,53,0,12,45,38,86,60,20,32,0,12,3,4.01,Suffolk County,Massachusetts
1500000US250250004014,489,180,0,12,27,27,44,43,0,12,22,26,109,82,77,51,27,32,38,35,120,93,25,31,0,12,4,4.01,Suffolk County,Massachusetts
1500000US250250004021,516,144,0,12,53,29,71,41,33,36,55,46,51,31,84,56,21,17,42,29,75,42,21,22,10,18,1,4.02,Suffolk County,Massachusetts
1500000US250250004022,432,189,8,18,7,10,47,66,54,54,69,61,0,12,114,145,0,12,39,28,61,45,33,28,0,12,2,4.02,Suffolk County,Massachusetts
1500000US250250004023,481,162,0,12,0,12,24,22,32,39,99,68,78,106,74,46,37,26,48,40,73,58,16,20,0,12,3,4.02,Suffolk County,Massachusetts
1500000US250250005021,397,118,0,12,0,12,7,11,51,36,18,19,32,32,96,47,27,37,54,47,66,36,46,28,0,12,1,5.02,Suffolk County,Massachusetts
1500000US250250005022,278,95,0,12,0,12,45,40,6,11,35,26,66,44,41,26,40,41,7,11,38,32,0,12,0,12,2,5.02,Suffolk County,Massachusetts
1500000US250250005023,697,131,0,12,17,19,25,22,53,32,108,51,24,21,168,87,6,11,91,44,129,60,69,46,7,13,3,5.02,Suffolk County,Massachusetts
1500000US250250005024,1195,271,64,51,336,120,268,91,193,97,137,111,21,29,57,44,0,12,0,12,0,12,98,65,21,41,4,5.02,Suffolk County,Massachusetts
1500000US250250005031,447,168,0,12,6,10,0,12,24,24,22,23,7,10,119,58,22,27,67,53,111,65,53,71,16,26,1,5.03,Suffolk County,Massachusetts
1500000US250250005032,657,157,0,12,14,20,49,39,86,50,85,48,45,32,135,79,35,35,30,26,133,73,45,34,0,12,2,5.03,Suffolk County,Massachusetts
1500000US250250005041,691,199,0,12,16,26,21,24,18,23,56,70,22,40,234,106,33,37,27,30,157,95,107,98,0,12,1,5.04,Suffolk County,Massachusetts
1500000US250250005042,512,153,0,12,0,12,18,29,50,49,78,78,61,48,175,97,31,39,8,13,63,51,28,28,0,12,2,5.04,Suffolk County,Massachusetts
1500000US250250005043,631,188,0,12,34,44,33,34,48,44,62,48,18,31,119,78,36,40,87,66,122,77,72,62,0,12,3,5.04,Suffolk County,Massachusetts
1500000US250250005044,331,190,0,12,0,12,0,12,16,25,0,12,23,36,149,139,45,51,31,32,33,38,34,38,0,12,4,5.04,Suffolk County,Massachusetts
1500000US250250006011,218,159,14,33,11,18,23,30,13,20,45,43,17,23,48,75,13,24,0,12,13,30,12,20,9,14,1,6.01,Suffolk County,Massachusetts
1500000US250250006012,584,189,0,12,10,15,9,15,36,41,73,50,21,20,179,70,31,36,87,66,138,69,0,12,0,12,2,6.01,Suffolk County,Massachusetts
1500000US250250006013,299,120,0,12,0,12,22,24,39,28,27,25,9,15,55,48,27,40,30,27,72,56,18,20,0,12,3,6.01,Suffolk County,Massachusetts
1500000US250250006014,507,135,9,12,9,15,35,30,118,84,105,69,19,22,54,39,30,28,10,15,67,43,42,33,9,15,4,6.01,Suffolk County,Massachusetts
1500000US250250006021,775,193,0,12,20,23,67,42,135,75,111,61,88,57,179,85,22,21,50,36,79,52,13,17,11,13,1,6.02,Suffolk County,Massachusetts
1500000US250250006022,558,124,0,12,12,19,44,43,30,25,56,40,0,12,153,63,18,21,45,52,114,53,77,45,9,14,2,6.02,Suffolk County,Massachusetts
1500000US250250006023,264,93,0,12,19,22,21,23,7,13,27,29,3,6,66,33,6,12,0,12,68,60,28,25,19,20,3,6.02,Suffolk County,Massachusetts
1500000US250250007011,557,304,0,12,0,12,0,12,85,88,102,114,75,69,32,36,0,12,110,106,51,38,77,87,25,37,1,7.01,Suffolk County,Massachusetts
1500000US250250007012,113,72,0,12,10,14,0,12,0,12,23,19,0,12,57,62,15,25,8,13,0,12,0,12,0,12,2,7.01,Suffolk County,Massachusetts
1500000US250250007013,215,95,0,12,0,12,16,23,36,50,10,18,21,25,31,37,0,12,0,12,52,44,49,53,0,12,3,7.01,Suffolk County,Massachusetts
1500000US250250007014,347,151,0,12,10,16,13,22,0,12,46,54,14,23,86,83,57,55,58,49,48,49,15,26,0,12,4,7.01,Suffolk County,Massachusetts
1500000US250250007015,849,268,0,12,25,29,33,31,63,46,77,50,37,37,107,77,16,24,155,115,88,71,240,128,8,24,5,7.01,Suffolk County,Massachusetts
1500000US250250007031,500,96,35,32,25,17,38,30,25,23,114,54,38,29,73,57,0,12,13,20,66,27,73,52,0,12,1,7.03,Suffolk County,Massachusetts
1500000US250250007032,585,178,13,20,8,15,45,37,56,36,113,73,33,29,154,102,0,12,90,52,20,20,53,40,0,12,2,7.03,Suffolk County,Massachusetts
1500000US250250007041,1068,343,0,12,17,27,32,38,107,62,147,92,8,12,218,166,98,118,177,103,132,75,132,103,0,12,1,7.04,Suffolk County,Massachusetts
1500000US250250007042,435,160,0,12,0,12,88,126,21,24,74,64,0,12,118,82,20,23,38,37,63,45,13,21,0,12,2,7.04,Suffolk County,Massachusetts
1500000US250250007043,808,272,0,12,4,8,140,138,84,79,51,65,49,47,196,112,46,62,45,50,125,122,38,48,30,35,3,7.04,Suffolk County,Massachusetts
1500000US250250007044,335,145,0,12,0,12,0,12,33,29,5,10,10,19,92,62,31,37,86,103,17,21,61,55,0,12,4,7.04,Suffolk County,Massachusetts
1500000US250250008021,546,218,0,12,0,12,14,22,69,56,57,48,22,35,149,111,0,12,61,52,139,96,35,40,0,12,1,8.02,Suffolk County,Massachusetts
1500000US250250008022,1096,368,0,12,61,79,12,19,97,80,27,37,81,79,136,94,0,12,251,182,260,111,131,102,40,44,2,8.02,Suffolk County,Massachusetts
1500000US250250008023,503,387,0,12,0,12,0,12,29,46,59,62,56,91,165,115,22,37,0,12,101,96,71,75,0,12,3,8.02,Suffolk County,Massachusetts
1500000US250250008024,997,253,0,12,11,18,176,108,148,114,183,101,28,31,235,152,72,80,57,51,43,49,18,28,26,31,4,8.02,Suffolk County,Massachusetts
1500000US250250008025,785,202,8,15,23,14,78,61,104,70,69,50,59,39,208,114,18,23,58,56,96,67,64,48,0,12,5,8.02,Suffolk County,Massachusetts
1500000US250250008031,630,261,6,10,91,118,88,54,70,48,200,104,41,60,71,52,0,12,17,18,35,58,11,12,0,12,1,8.03,Suffolk County,Massachusetts
1500000US250250008032,1378,413,142,135,259,139,279,147,301,176,126,102,26,26,124,122,20,40,9,22,61,50,11,21,20,40,2,8.03,Suffolk County,Massachusetts
1500000US250250101031,451,205,15,20,161,108,25,24,96,98,35,33,25,22,31,29,5,8,8,9,31,28,19,30,0,12,1,101.03,Suffolk County,Massachusetts
1500000US250250101032,273,137,39,41,64,60,38,46,16,11,8,11,1,2,91,133,0,12,16,24,0,12,0,12,0,12,2,101.03,Suffolk County,Massachusetts
1500000US250250101033,456,95,56,33,78,34,93,46,87,48,53,41,18,18,24,21,0,12,6,7,28,28,3,6,10,16,3,101.03,Suffolk County,Massachusetts
1500000US250250101041,738,131,7,14,26,27,87,55,84,46,201,88,43,31,87,48,43,46,90,58,57,50,0,12,13,15,1,101.04,Suffolk County,Massachusetts
1500000US250250101042,1038,184,40,37,163,73,187,69,214,85,250,95,18,17,83,47,10,15,20,25,41,38,6,10,6,10,2,101.04,Suffolk County,Massachusetts
1500000US250250101043,375,96,32,29,21,31,71,41,29,24,61,50,30,25,73,56,8,13,11,16,16,18,23,23,0,12,3,101.04,Suffolk County,Massachusetts
1500000US250250102031,498,182,12,19,71,53,0,12,88,57,108,113,45,37,53,43,15,24,15,22,79,72,12,20,0,12,1,102.03,Suffolk County,Massachusetts
1500000US250250102032,989,257,0,12,77,51,93,71,426,194,135,92,67,45,32,30,47,38,11,18,60,41,29,32,12,18,2,102.03,Suffolk County,Massachusetts
1500000US250250102033,835,165,13,20,70,81,93,81,65,46,211,110,173,109,110,82,36,35,40,34,21,23,3,18,0,12,3,102.03,Suffolk County,Massachusetts
1500000US250250102034,93,60,0,12,0,12,7,12,21,25,0,12,27,43,25,39,0,12,0,12,13,21,0,12,0,12,4,102.03,Suffolk County,Massachusetts
1500000US250250102041,415,103,15,24,134,66,51,41,86,50,72,44,0,12,40,29,0,12,0,12,0,12,13,23,4,8,1,102.04,Suffolk County,Massachusetts
1500000US250250102042,605,158,7,13,207,104,61,37,55,30,21,20,36,33,151,112,8,14,14,17,13,17,29,26,3,5,2,102.04,Suffolk County,Massachusetts
1500000US250250102043,524,159,0,12,20,24,88,75,60,39,132,109,31,36,41,45,25,24,23,21,36,26,68,68,0,12,3,102.04,Suffolk County,Massachusetts
1500000US250250103001,428,87,52,51,85,42,70,46,67,39,47,27,26,19,36,31,0,12,3,7,20,20,7,14,15,30,1,103,Suffolk County,Massachusetts
1500000US250250103002,1501,297,131,78,476,137,264,149,141,63,145,70,64,36,106,52,6,13,18,19,132,130,12,17,6,11,2,103,Suffolk County,Massachusetts
1500000US250250104031,468,218,0,12,80,93,17,30,42,49,56,56,0,12,14,24,33,39,32,47,100,75,94,110,0,12,1,104.03,Suffolk County,Massachusetts
1500000US250250104032,299,129,0,12,20,32,16,25,63,56,0,12,90,81,24,28,0,12,0,12,53,50,22,35,11,16,2,104.03,Suffolk County,Massachusetts
1500000US250250104033,525,249,0,12,17,20,37,60,256,195,64,56,6,15,52,51,24,38,19,32,37,33,13,21,0,12,3,104.03,Suffolk County,Massachusetts
1500000US250250104041,907,268,7,11,123,101,171,122,119,74,208,103,28,34,150,98,9,14,35,47,36,32,11,13,10,16,1,104.04,Suffolk County,Massachusetts
1500000US250250104042,843,168,103,65,287,124,141,99,85,58,116,99,19,2,59,40,0,12,23,31,6,9,4,7,0,12,2,104.04,Suffolk County,Massachusetts
1500000US250250104043,313,139,5,9,15,17,128,123,76,62,13,21,34,31,8,14,0,12,7,13,10,16,17,28,0,12,3,104.04,Suffolk County,Massachusetts
1500000US250250104051,1469,452,116,78,438,337,162,74,182,97,195,78,66,41,163,84,13,18,18,22,81,60,35,31,0,12,1,104.05,Suffolk County,Massachusetts
1500000US250250104052,822,160,87,53,145,68,148,56,85,52,79,42,20,23,140,66,0,12,36,36,29,19,32,24,21,22,2,104.05,Suffolk County,Massachusetts
1500000US250250104053,162,114,7,13,99,111,5,12,18,17,4,7,7,10,11,17,0,12,11,14,0,12,0,12,0,12,3,104.05,Suffolk County,Massachusetts
1500000US250250104081,1026,123,0,12,42,28,104,59,207,76,146,65,74,36,287,110,46,45,43,33,38,34,36,35,3,7,1,104.08,Suffolk County,Massachusetts
1500000US250250105001,556,235,46,56,82,108,56,54,90,46,108,65,56,61,54,41,0,12,28,44,16,18,12,17,8,13,1,105,Suffolk County,Massachusetts
1500000US250250105002,461,145,11,15,25,27,0,12,83,61,68,37,74,60,92,72,32,33,14,21,49,52,13,15,0,12,2,105,Suffolk County,Massachusetts
1500000US250250105003,484,98,14,16,24,24,40,34,186,79,76,35,43,43,27,27,6,9,12,19,43,27,0,12,13,16,3,105,Suffolk County,Massachusetts
1500000US250250106001,954,184,0,12,125,61,189,100,105,56,187,71,141,108,111,56,31,38,9,15,36,35,20,22,0,12,1,106,Suffolk County,Massachusetts
1500000US250250106002,549,140,16,21,11,12,127,85,59,38,117,68,25,24,91,54,48,61,11,17,34,42,0,12,10,16,2,106,Suffolk County,Massachusetts
1500000US250250107011,705,221,41,26,66,37,91,57,48,47,148,131,67,73,111,81,11,17,49,51,59,68,14,22,0,12,1,107.01,Suffolk County,Massachusetts
1500000US250250107012,800,180,0,12,96,65,154,86,124,53,90,50,64,44,98,60,0,12,50,60,29,33,88,92,7,11,2,107.01,Suffolk County,Massachusetts
1500000US250250107013,433,138,5,9,58,48,74,44,66,62,59,43,15,18,80,59,0,12,15,23,50,40,0,12,11,19,3,107.01,Suffolk County,Massachusetts
1500000US250250107021,529,150,0,12,26,26,24,28,97,54,94,70,73,61,87,60,0,12,38,31,52,39,8,14,30,32,1,107.02,Suffolk County,Massachusetts
1500000US250250107022,535,141,20,19,59,43,62,35,117,65,158,95,12,14,89,50,0,12,0,12,7,11,11,16,0,12,2,107.02,Suffolk County,Massachusetts
1500000US250250107023,440,121,0,12,9,13,71,43,103,53,82,49,46,45,59,48,0,12,42,33,8,12,11,15,9,14,3,107.02,Suffolk County,Massachusetts
1500000US250250108011,395,108,24,21,8,12,78,54,66,50,35,34,24,40,112,70,13,22,19,20,12,16,4,8,0,12,1,108.01,Suffolk County,Massachusetts
1500000US250250108012,647,184,0,12,120,136,77,46,85,51,98,66,33,33,89,47,53,38,31,34,52,46,9,15,0,12,2,108.01,Suffolk County,Massachusetts
1500000US250250108013,857,180,0,12,49,44,171,92,155,80,189,91,50,38,87,57,10,16,29,34,69,45,48,52,0,12,3,108.01,Suffolk County,Massachusetts
1500000US250250108021,530,130,24,38,16,18,70,42,108,75,86,51,30,33,89,66,0,12,17,19,82,48,8,14,0,12,1,108.02,Suffolk County,Massachusetts
1500000US250250108022,807,203,0,12,47,32,113,79,141,67,114,66,58,51,226,112,52,42,17,19,15,18,24,27,0,12,2,108.02,Suffolk County,Massachusetts
1500000US250250108023,331,143,0,12,25,28,39,42,21,20,50,35,35,31,55,54,32,24,17,21,10,15,34,54,13,21,3,108.02,Suffolk County,Massachusetts
1500000US250250201011,476,179,0,12,21,30,20,31,90,63,51,83,147,126,13,21,0,12,0,12,72,65,47,48,15,24,1,201.01,Suffolk County,Massachusetts
1500000US250250201012,586,245,0,12,0,12,78,99,136,91,142,117,63,43,71,73,18,28,0,12,63,56,15,24,0,12,2,201.01,Suffolk County,Massachusetts
