OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date,POSTCODE
"662880",CM-0493-S,,Wareham Village,Wareham Village - CapeFLYER - Track 1 (All Trains),"1",Track 1 (All Trains),41.758333,-70.714722,CF-zone-buzzards,,https://www.mbta.com/stops/place-CM-0493,,"0",place-CM-0493,"1",Wareham,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02571"
"662882",CM-0547-S,,Buzzards Bay,Buzzards Bay - CapeFLYER - Track 1 (All Trains),"1",Track 1 (All Trains),41.744805,-70.616226,CF-zone-buzzards,,https://www.mbta.com/stops/place-CM-0547,,"0",place-CM-0547,"1",Bourne,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02532"
"662884",CM-0564-S,,Bourne,Bourne - CapeFLYER - Track 1 (All Trains),"1",Track 1 (All Trains),41.746497,-70.588772,CF-zone-buzzards,,https://www.mbta.com/stops/place-CM-0564,,"0",place-CM-0564,"1",Bourne,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02532"
"662886",CM-0790-S,,Hyannis,Hyannis - CapeFLYER - Track 1 (All Trains),"1",Track 1 (All Trains),41.660225,-70.276583,CF-zone-hyannis,,https://www.mbta.com/stops/place-CM-0790,,"0",place-CM-0790,"1",Barnstable,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02601"
"662888",DB-0095,,Readville,Readville - Commuter Rail,,Commuter Rail,42.238405,-71.133246,CR-zone-2,,https://www.mbta.com/stops/place-DB-0095,,"0",place-DB-0095,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662889",FB-0095-04,,Readville,Readville - Commuter Rail - Track 4,"4",Track 4,42.237769,-71.133569,CR-zone-2,,https://www.mbta.com/stops/place-DB-0095,,"0",place-DB-0095,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662890",FB-0095-05,,Readville,Readville - Commuter Rail - Track 5,"5",Track 5,42.237781,-71.134295,CR-zone-2,,https://www.mbta.com/stops/place-DB-0095,,"0",place-DB-0095,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662891",NEC-2192-02,,Readville,Readville - Commuter Rail - Track 2,"2",Track 2,42.238831,-71.133281,CR-zone-2,,https://www.mbta.com/stops/place-DB-0095,,"0",place-DB-0095,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662892",NEC-2192-03,,Readville,Readville - Commuter Rail - Track 3,"3",Track 3,42.238864,-71.133433,CR-zone-2,,https://www.mbta.com/stops/place-DB-0095,,"0",place-DB-0095,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662894",DB-2205,,Fairmount,Fairmount - Commuter Rail,,Commuter Rail,42.253638,-71.11927,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2205,,"0",place-DB-2205,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662895",DB-2205-01,,Fairmount,Fairmount - Commuter Rail - Track 1 (Outbound),"1",Track 1 (Outbound),42.253638,-71.11927,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2205,,"0",place-DB-2205,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662896",DB-2205-02,,Fairmount,Fairmount - Commuter Rail - Track 2 (South Station),"2",Track 2 (South Station),42.253638,-71.11927,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2205,,"0",place-DB-2205,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02136"
"662898",DB-2222,,Blue Hill Avenue,Blue Hill Avenue - Commuter Rail,,Commuter Rail,42.271466,-71.095782,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2222,,"0",place-DB-2222,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662899",DB-2222-01,,Blue Hill Avenue,Blue Hill Avenue - Commuter Rail - Track 1 (Outbound),"1",Track 1 (Outbound),42.271466,-71.095782,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2222,,"0",place-DB-2222,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662900",DB-2222-02,,Blue Hill Avenue,Blue Hill Avenue - Commuter Rail - Track 2 (South Station),"2",Track 2 (South Station),42.271466,-71.095782,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2222,,"0",place-DB-2222,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662902",DB-2230,,Morton Street,Morton Street - Commuter Rail,,Commuter Rail,42.280994,-71.085475,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2230,,"0",place-DB-2230,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662903",DB-2230-01,,Morton Street,Morton Street - Commuter Rail - Track 1 (Outbound),"1",Track 1 (Outbound),42.280994,-71.085475,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2230,,"0",place-DB-2230,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662904",DB-2230-02,,Morton Street,Morton Street - Commuter Rail - Track 2 (South Station),"2",Track 2 (South Station),42.280994,-71.085475,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2230,,"0",place-DB-2230,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02126"
"662906",DB-2240,,Talbot Avenue,Talbot Avenue - Commuter Rail,,Commuter Rail,42.292246,-71.07814,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2240,,"0",place-DB-2240,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02124"
"662907",DB-2240-01,,Talbot Avenue,Talbot Avenue - Commuter Rail - Track 1 (Outbound),"1",Track 1 (Outbound),42.292246,-71.07814,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2240,,"0",place-DB-2240,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02124"
"662908",DB-2240-02,,Talbot Avenue,Talbot Avenue - Commuter Rail - Track 2 (South Station),"2",Track 2 (South Station),42.292246,-71.07814,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2240,,"0",place-DB-2240,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02124"
"662910",DB-2249,,Four Corners/Geneva,Four Corners/Geneva - Commuter Rail,,Commuter Rail,42.305037,-71.076833,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2249,,"0",place-DB-2249,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02121"
"662911",DB-2249-01,,Four Corners/Geneva,Four Corners/Geneva - Commuter Rail - Track 1 (Outbound),"1",Track 1 (Outbound),42.303955,-71.077979,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2249,,"0",place-DB-2249,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02121"
"662912",DB-2249-02,,Four Corners/Geneva,Four Corners/Geneva - Commuter Rail - Track 2 (South Station),"2",Track 2 (South Station),42.305692,-71.076096,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2249,,"0",place-DB-2249,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02121"
"662914",DB-2258,,Uphams Corner,Uphams Corner - Commuter Rail,,Commuter Rail,42.319125,-71.068627,CR-zone-1A,,https://www.mbta.com/stops/place-DB-2258,,"0",place-DB-2258,"1",Boston,,,"2",,,,,,,,,DOT_ADMIN,2023/12/11 19:40:12+00,DOT_ADMIN,2023/12/11 19:40:12+00,"02125"
