stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
1,1,Washington St opp Ruggles St,,,,42.330957,-71.082754,ExpressBus-Downtown,,https://www.mbta.com/stops/1,,0,,1,Boston,Washington Street,Ruggles Street,3.0
11384,11384,Dartmouth St @ Back Bay Sta,,,,42.347346,-71.075956,ExpressBus-Downtown,,https://www.mbta.com/stops/11384,,0,,1,Boston,Dartmouth Street,Stuart Street,3.0
117,117,Congress St @ Haymarket Sta,,,,42.361847,-71.057724,ExpressBus-Downtown,,https://www.mbta.com/stops/117,,0,,1,Boston,Congress Street,Hanover Street,3.0
1389,1389,Boylston St @ Prudential Center,,,,42.348631,-71.082561,ExpressBus-Downtown,,https://www.mbta.com/stops/1389,,0,,1,Boston,Boylston Street,Fairfield Street,3.0
1395,1395,Dartmouth St @ Appleton St,,,,42.345156,-71.074969,ExpressBus-Downtown,,https://www.mbta.com/stops/1395,,0,,1,Boston,Dartmouth Street,Appleton Street,3.0
1396,1396,Dartmouth St @ Tremont St,,,,42.342885,-71.073849,ExpressBus-Downtown,,https://www.mbta.com/stops/1396,,0,,1,Boston,Dartmouth Street,Tremont Street,3.0
1397,1397,Opp 43 W Dedham St,,,,42.341714,-71.07269,ExpressBus-Downtown,,https://www.mbta.com/stops/1397,,0,,1,Boston,West Dedham Street,,3.0
1398,1398,W Dedham St @ Washington St,,,,42.340883,-71.071385,ExpressBus-Downtown,,https://www.mbta.com/stops/1398,,0,,1,Boston,West Dedham Street,,3.0
143,143,Boylston St @ Clarendon St,,,,42.350593,-71.075289,ExpressBus-Downtown,,https://www.mbta.com/stops/143,,0,,1,Boston,Boylston Street,Clarendon Street,3.0
15176,15176,Washington St @ Worcester St,Washington St @ Worcester St - Silver Line - Nubian,,Nubian,42.337353,-71.075909,ExpressBus-Downtown,"Washington St and Worcester Sq, Boston, MA",https://www.mbta.com/stops/15176,level_in_street,0,,1,Boston,Washington Street,Worcester Street,3.0
16535,16535,Otis St @ Summer St,,,,42.354243,-71.058557,ExpressBus-Downtown,,https://www.mbta.com/stops/16535,,0,,1,Boston,Otis Street,Summer Street,3.0
17091,17091,Terminal A,Terminal A - Silver Line - SL1 South Station,,South Station,42.364612,-71.020862,SL1-Logan,"Terminal A Arrivals, Door A104, Boston Logan International Airport, Boston, MA 02128",https://www.mbta.com/stops/17091,level_logan_arrivals,0,,1,Boston,Logan Airport Terminal A,Logan Airport Terminal B,3.0
17093,17093,Terminal B Stop 2 - Arrivals Level,Terminal B Stop 2 - Silver Line - SL1 South Station,,South Station,42.362099,-71.017983,SL1-Logan,"Terminal B Arrivals, Door B110, Boston Logan International Airport, Boston, MA 02128",https://www.mbta.com/stops/17093,level_logan_arrivals,0,,1,Boston,Logan Airport Terminal B,,3.0
17094,17094,Terminal C - Arrivals Level,Terminal C - Silver Line - SL1 South Station,,South Station,42.366494,-71.017289,SL1-Logan,"Terminal C Arrivals, Door C106, Boston Logan International Airport, Boston, MA 02128",https://www.mbta.com/stops/17094,level_logan_arrivals,0,,1,Boston,Logan Airport Terminal C,Logan Airport Terminal B,3.0
17095,17095,Terminal E - Arrivals Level,Terminal E - Silver Line - SL1 South Station,,South Station,42.369344,-71.020238,SL1-Logan,"Terminal E Arrivals, Door E106, Boston Logan International Airport, Boston, MA 02128",https://www.mbta.com/stops/17095,level_logan_arrivals,0,,1,Boston,Logan Airport Terminal E,,3.0
17096,17096,Congress St @ World Trade Center Sta,Congress St @ World Trade Center Sta - Silver Line - South Station,,South Station,42.348769,-71.042336,SLWaterfrontNonLogan,,https://www.mbta.com/stops/17096,level_in_street,0,,1,Boston,Congress Street,Seaport Lane,3.0
173,173,Saint James Ave @ Clarendon St,,,,42.349935,-71.074649,ExpressBus-Downtown,,https://www.mbta.com/stops/173,,0,,1,Boston,Saint James Avenue,Clarendon Street,3.0
175,175,Boylston St @ Dartmouth St,,,,42.350011,-71.077432,ExpressBus-Downtown,,https://www.mbta.com/stops/175,,0,,1,Boston,Boylston Street,Dartmouth Street,3.0
176,176,Dartmouth St opp Back Bay Sta,,,,42.347343,-71.076035,ExpressBus-Downtown,,https://www.mbta.com/stops/176,,0,,1,Boston,Dartmouth Street,Stuart Street,3.0
177,177,Saint James Ave @ Arlington St,,,,42.351039,-71.070502,ExpressBus-Downtown,,https://www.mbta.com/stops/177,,0,,1,Boston,Saint James Avenue,Arlington Street,3.0
178,178,Saint James Ave @ Dartmouth St,,,,42.349505,-71.076639,ExpressBus-Downtown,,https://www.mbta.com/stops/178,,0,,1,Boston,Saint James Avenue,Dartmouth Street,3.0
188,188,Massachusetts Ave @ Massachusetts Ave Station,,,,42.34157,-71.083092,ExpressBus-Downtown,,https://www.mbta.com/stops/188,,0,,1,Boston,Massachusetts Avenue,,3.0
191,191,Congress St @ North St,,,,42.360387,-71.057129,ExpressBus-Downtown,,https://www.mbta.com/stops/191,,0,,1,Boston,Congress Street,North Street,3.0
1932,1932,Boylston St @ Massachusetts Ave,,,,42.347163,-71.087885,ExpressBus-Downtown,,https://www.mbta.com/stops/1932,,0,,2,Boston,Boylston Street,Massachusetts Avenue,3.0
19402,19402,Washington St @ W Newton St,Washington St @ W Newton St - Silver Line - Nubian,,Nubian,42.338788,-71.073825,ExpressBus-Downtown,"Washington St and West Newton St, Boston, MA",https://www.mbta.com/stops/19402,level_in_street,0,,1,Boston,Washington Street,West Newton Street,3.0
2,2,Washington St @ Melnea Cass Blvd,,,,42.332324,-71.081252,ExpressBus-Downtown,,https://www.mbta.com/stops/2,,0,,1,Boston,Washington Street,,3.0
27092,27092,Terminal B Stop 1 - Arrivals Level,Terminal B Stop 1 - Silver Line - SL1 South Station,,South Station,42.3621,-71.01882,SL1-Logan,"Terminal B Arrivals, Door B103, Boston Logan International Airport, Boston, MA 02128",https://www.mbta.com/stops/27092,level_logan_arrivals,0,,1,Boston,Logan Airport Terminal B,,3.0
2829,2829,N Washington St @ Medford St,,,,42.365749,-71.058505,ExpressBus-Downtown,,https://www.mbta.com/stops/2829,,0,,1,Boston,North Washington Street,,3.0
4,4,Washington St @ Lenox St,,,,42.335164,-71.078518,ExpressBus-Downtown,"Washington St and Lenox St, Boston, MA 02118",https://www.mbta.com/stops/4,,0,,1,Boston,Washington Street,East Lenox Street,3.0
4510,4510,Cambridge St @ Government Ctr Sta,,,,42.360043,-71.0598,ExpressBus-Downtown,,https://www.mbta.com/stops/4510,,0,,1,Boston,Cambridge Street,Court Street,3.0
4511,4511,Sudbury St @ Congress St - Haymarket Sta,,,,42.362126,-71.058975,ExpressBus-Downtown,,https://www.mbta.com/stops/4511,,0,,1,Boston,Sudbury Street,Merrimac Street,3.0
5,5,Washington St @ Massachusetts Ave,,,,42.336339,-71.07707,ExpressBus-Downtown,,https://www.mbta.com/stops/5,,0,,1,Boston,Washington Street,Massachusetts Avenue,3.0
55,55,Washington St @ Massachusetts Ave,Washington St @ Massachusetts Ave - Silver Line - Nubian,,Nubian,42.336361,-71.077214,ExpressBus-Downtown,,https://www.mbta.com/stops/55,level_in_street,0,,1,Boston,Washington Street,Massachusetts Avenue,3.0
60,60,Washington St @ Lenox St,Washington St @ Lenox St - Silver Line - Nubian,,Nubian,42.334963,-71.078951,ExpressBus-Downtown,"Washington St and Lenox St, Boston, MA 02118",https://www.mbta.com/stops/60,level_in_street,0,,1,Boston,Washington Street,Lenox Street,3.0
62,62,Washington St @ Williams St,,,,42.332045,-71.081738,ExpressBus-Downtown,,https://www.mbta.com/stops/62,,0,,1,Boston,Washington Street,Eustis Street,3.0
63,63,Washington St @ Ruggles St,,,,42.331035,-71.082875,ExpressBus-Downtown,,https://www.mbta.com/stops/63,,0,,1,Boston,Washington Street,Ruggles Street,3.0
65,65,State St @ Washington Mall - State St Sta,,,,42.358863,-71.057481,ExpressBus-Downtown,,https://www.mbta.com/stops/65,,0,,1,Boston,State Street,Devonshire Street,3.0
6542,6542,Kneeland St @ Washington St,,,,42.350845,-71.062868,ExpressBus-Downtown,,https://www.mbta.com/stops/6542,,0,,1,Boston,Kneeland Street,Washington Street,3.0
6550,6550,Lincoln St @ Essex St,,,,42.352188,-71.057992,ExpressBus-Downtown,,https://www.mbta.com/stops/6550,,0,,1,Boston,Lincoln Street,Surface Artery,3.0
6551,6551,Federal St @ Franklin St,,,,42.355286,-71.056411,ExpressBus-Downtown,,https://www.mbta.com/stops/6551,,0,,1,Boston,Federal Street,Franklin Street,3.0
6555,6555,Chinatown Gate,,,,42.35068,-71.059655,ExpressBus-Downtown,,https://www.mbta.com/stops/6555,,0,,1,Boston,Surface Artery,Beach Street,3.0
71263,71263,Adams St @ Milton St - Cedar Grove Sta,Cedar Grove - Mattapan Line Mattapan Shuttle - Adams St @ Milton St,,Mattapan Shuttle,42.279763,-71.059163,,,,,0,,1,Boston,Adams Street,Milton St,3.0
71264,71264,Adams St @ Milton St - Cedar Grove Sta,Cedar Grove - Mattapan Line Ashmont Shuttle - Adams St @ Milton St,,Ashmont Shuttle,42.280222,-71.058742,,,,,0,,1,Boston,Adams Street,Milton Street,3.0
71265,71265,Adams St @ Butler St - Butler Sta,Butler - Mattapan Line Mattapan Shuttle - Adams St @ Butler St,,Mattapan Shuttle,42.273318,-71.064038,,,,,0,,1,Boston,Adams Street,Butler Street,3.0
71266,71266,Adams St @ Butler St - Butler Sta,Butler - Mattapan Line Ashmont Shuttle - Adams St @ Butler St,,Ashmont Shuttle,42.27313,-71.064183,,,,,0,,1,Boston,Adams Street,Butler Street,3.0
71269,71269,Eliot St @ Central Ave - Central Ave Sta,Central Ave - Mattapan Line Shuttle - Eliot St @ Central Ave,,Ashmont Shuttle,42.269457,-71.073334,,,,,0,,1,Milton,Eliot Street,Central Avenue,3.0
71270,71270,Eliot St @ Central Ave - Central Ave Sta,Central Ave - Mattapan Line Shuttle - Eliot St @ Central Ave,,Mattapan Shuttle,42.269557,-71.073302,,,,,0,,1,Milton,Eliot Street,Central Avenue,3.0
71271,71271,Eliot St @ Valley Rd Sta,Valley Road - Mattapan Line Capen Street Van Shuttle - Eliot St @ Valley Rd Sta,,Capen St Van Shuttle,42.267976,-71.080965,,,,,0,,1,Milton,Eliot Street,,3.0
71272,71272,Eliot St opp Valley Rd Sta,Valley Road - Mattapan Line Central Avenue Van Shuttle - Eliot St opp Valley Rd Sta,,Central Ave Van Shuttle,42.267781,-71.081139,,,,,0,,1,Milton,Eliot Street,,3.0
71273,71273,Eliot St opp Capen Street,Capen Street - Mattapan Line Ashmont Shuttle - Eliot St opp Capen St,,Ashmont Shuttle,42.265983,-71.085531,,,,,0,,1,Milton,Eliot Street,Capen Street,3.0
71274,71274,Eliot St @ Capen Street - Capen St Sta,Capen Street - Mattapan Line Shuttle - Eliot St @ Capen St,,Mattapan Shuttle,42.266153,-71.085375,,,,,0,,1,Milton,Eliot Street,Capen Street,3.0
71855,71855,Stuart St @ Dartmouth St,,,,42.348245,-71.076218,ExpressBus-Downtown,,https://www.mbta.com/stops/71855,,0,,1,Boston,Stuart Street,Dartmouth Street,3.0
87,87,Massachusetts Ave @ Tremont St,,,,42.339459,-71.080362,ExpressBus-Downtown,,https://www.mbta.com/stops/87,,0,,1,Boston,Massachusetts Avenue,Tremont Street,3.0
89,89,Massachusetts Ave @ St Botolph St,,,,42.342303,-71.084121,ExpressBus-Downtown,,https://www.mbta.com/stops/89,,0,,1,Boston,Massachusetts Avenue,Saint Botolph Street,3.0
9070012,9070012,Massachusetts Avenue - Columbus Ave @ Northampton St,Massachusetts Avenue - Orange Line Forest Hills Shuttle - Columbus Ave @ Northampton St,,Forest Hills Shuttle,42.340219,-71.082397,,,,,0,,1,Boston,Columbus Avenue,Northampton Street,3.0
9070022,9070022,State,State - Orange Line Shuttle - Congress St @ State St,,Orange Line Shuttle,42.359131,-71.056756,,,,,0,,1,Boston,Congress Street,State Street,3.0
9070024,9070024,Haymarket - Congress St opp Hanover St,Haymarket - Orange Line Forest Hills Shuttle - Congress St opp Hanover St,,Forest Hills Shuttle,42.361133,-71.057643,,,,,0,,1,Boston,Congress Street,Hanover Street,3.0
9070025,9070025,Haymarket - Congress St @ Hanover St,Haymarket - Red Line Alewife Shuttle - Congress St @ Hanover St,,Alewife Shuttle,42.361361,-71.057419,,,,,0,,1,Boston,Congress Street,Hanover Street,3.0
9070026,9070026,North Station,North Station - Orange Line Shuttle - Haverhill St @ Causeway St,,Orange Line Shuttle,42.365608,-71.060426,,,,,0,,1,Boston,Haverhill Street,Causeway Street,3.0
