stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,Latitude,Longitude,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
place-DB-0095,,Readville,,,,42.238405,-71.133246,CR-zone-2,"1800 Hyde Park Ave, Hyde Park, MA 02136",https://www.mbta.com/stops/place-DB-0095,,1,,1,Boston,,,
place-DB-2205,,Fairmount,,,,42.253638,-71.11927,CR-zone-1A,"Fairmount Ave and Truman Hwy, Hyde Park, MA 02136",https://www.mbta.com/stops/place-DB-2205,,1,,1,Boston,,,
place-DB-2230,,Morton Street,,,,42.280994,-71.085475,CR-zone-1A,"865 Morton St, Mattapan, MA 02126",https://www.mbta.com/stops/place-DB-2230,,1,,1,Boston,,,
place-DB-2240,,Talbot Avenue,,,,42.292246,-71.07814,CR-zone-1A,"210 Talbot Ave, Boston, MA 02124",https://www.mbta.com/stops/place-DB-2240,,1,,1,Boston,,,
place-DB-2249,,Four Corners/Geneva,,,,42.305037,-71.076833,CR-zone-1A,"171 Geneva Ave, Boston, MA 02121",https://www.mbta.com/stops/place-DB-2249,,1,,1,Boston,,,
place-DB-2258,,Uphams Corner,,,,42.319125,-71.068627,CR-zone-1A,"691 Dudley St, Dorchester, MA 02125",https://www.mbta.com/stops/place-DB-2258,,1,,1,Boston,,,
place-DB-2265,,Newmarket,,,,42.327415,-71.065674,CR-zone-1A,"1070 Massachusetts Ave, Boston, MA 02118",https://www.mbta.com/stops/place-DB-2265,,1,,1,Boston,,,
place-ER-0099,,River Works,GE Employees Only,,,42.449927,-70.969848,CR-zone-2,"1000 Western Ave, Lynn, MA 01910 (General Electric employees only)",https://www.mbta.com/stops/place-ER-0099,,1,,2,Lynn,,,
place-ER-0115,,Lynn,,,,42.462953,-70.945421,CR-zone-2,"325 Broad St, Lynn, MA 01901",https://www.mbta.com/stops/place-ER-0115,,1,,1,Lynn,,,
place-ER-0128,,Swampscott,,,,42.473743,-70.922537,CR-zone-3,"Burrill St and Railroad Ave, Swampscott, MA 01907",https://www.mbta.com/stops/place-ER-0128,,1,,1,Swampscott,,,
place-ER-0168,,Salem,,,,42.524792,-70.895876,CR-zone-3,"252 Bridge St, Salem, MA 01970",https://www.mbta.com/stops/place-ER-0168,,1,,1,Salem,,,
place-ER-0183,,Beverly,,,,42.547276,-70.885432,CR-zone-4,"10 Park St, Beverly, MA 01915",https://www.mbta.com/stops/place-ER-0183,,1,,1,Beverly,,,
place-ER-0208,,North Beverly,,,,42.583779,-70.883851,CR-zone-5,"Enon St and Dodge St, Beverly, MA 01915",https://www.mbta.com/stops/place-ER-0208,,1,,1,Beverly,,,
place-ER-0227,,Hamilton/Wenham,,,,42.609212,-70.874801,CR-zone-5,"Bay Rd and Walnut Rd, Hamilton, MA 01982",https://www.mbta.com/stops/place-ER-0227,,1,,1,Hamilton,,,
place-ER-0276,,Ipswich,,,,42.676921,-70.840589,CR-zone-6,"4 Peatfield St, Ipswich, MA 01938",https://www.mbta.com/stops/place-ER-0276,,1,,1,Ipswich,,,
place-ER-0312,,Rowley,,,,42.726845,-70.859034,CR-zone-7,"70 Railroad Ave, Rowley, MA 01969",https://www.mbta.com/stops/place-ER-0312,,1,,1,Rowley,,,
place-ER-0362,,Newburyport,,,,42.797837,-70.87797,CR-zone-8,"25 Boston Way, Newburyport, MA 01950",https://www.mbta.com/stops/place-ER-0362,,1,,1,Newburyport,,,
place-FB-0109,,Endicott,,,,42.233249,-71.158647,CR-zone-2,"186 Grant Ave, Dedham, MA 02026",https://www.mbta.com/stops/place-FB-0109,,1,,2,Dedham,,,
place-FB-0118,,Dedham Corporate Center,,,,42.227079,-71.174254,CR-zone-2,"125 Allied Dr, Dedham, MA 02026",https://www.mbta.com/stops/place-FB-0118,,1,,1,Dedham,,,
place-FB-0125,,Islington,,,,42.22105,-71.183961,CR-zone-3,"48 Carroll Ave, Westwood, MA 02090",https://www.mbta.com/stops/place-FB-0125,,1,,2,Westwood,,,
place-FB-0143,,Norwood Depot,,,,42.196857,-71.196688,CR-zone-3,"14 Hill St, Norwood, MA 02062",https://www.mbta.com/stops/place-FB-0143,,1,,1,Norwood,,,
place-FB-0148,,Norwood Central,,,,42.188775,-71.199665,CR-zone-3,"164 Broadway, Norwood, MA 02062",https://www.mbta.com/stops/place-FB-0148,,1,,1,Norwood,,,
place-FB-0166,,Windsor Gardens,,,,42.172127,-71.219366,CR-zone-4,"Buckminster Dr and Engamore Ln, Norwood, MA 02062",https://www.mbta.com/stops/place-FB-0166,,1,,2,Norwood,,,
place-FB-0177,,Plimptonville,,,,42.159123,-71.236125,CR-zone-4,"185 Plimpton St, Walpole, MA 02081",https://www.mbta.com/stops/place-FB-0177,,1,,2,Walpole,,,
place-FB-0191,,Walpole,,,,42.145477,-71.25779,CR-zone-4,"275 West St, Walpole, MA 02081",https://www.mbta.com/stops/place-FB-0191,,1,,2,Walpole,,,
place-FB-0230,,Norfolk,,,,42.120694,-71.325217,CR-zone-5,"9 Rockwood Rd, Norfolk, MA 02056",https://www.mbta.com/stops/place-FB-0230,,1,,1,Norfolk,,,
place-FB-0275,,Franklin,,,,42.083238,-71.396102,CR-zone-6,"75 Depot St, Franklin, MA 02038",https://www.mbta.com/stops/place-FB-0275,,1,,2,Franklin,,,
place-FB-0303,,Forge Park/495,,,,42.089941,-71.43902,CR-zone-6,"1000 W Central St, Franklin, MA 02038",https://www.mbta.com/stops/place-FB-0303,,1,,1,Franklin,,,
place-FR-0064,,Belmont,,,,42.395896,-71.17619,CR-zone-1,"Common St and Concord Ave, Belmont, MA 02478",https://www.mbta.com/stops/place-FR-0064,,1,,2,Belmont,,,
place-FR-0074,,Waverley,,,,42.3876,-71.190744,CR-zone-1,"525 Trapelo Rd, Belmont, MA 02478",https://www.mbta.com/stops/place-FR-0074,,1,,2,Belmont,,,
place-FR-0098,,Waltham,,,,42.374296,-71.235615,CR-zone-2,"75 Carter St, Waltham, MA 02453",https://www.mbta.com/stops/place-FR-0098,,1,,1,Waltham,,,
place-FR-0115,,Brandeis/Roberts,,,,42.361898,-71.260065,CR-zone-2,"1 Sawyer Rd, Waltham, MA 02453",https://www.mbta.com/stops/place-FR-0115,,1,,1,Waltham,,,
place-FR-0132,,Kendal Green,,,,42.37897,-71.282411,CR-zone-3,"198 Church St, Weston, MA",https://www.mbta.com/stops/place-FR-0132,,1,,2,Weston,,,
place-FR-0137,,Hastings,,,,42.385755,-71.289203,CR-zone-3,"105 Viles St, Weston, MA 02493",https://www.mbta.com/stops/place-FR-0137,,1,,2,Weston,,,
place-FR-0147,,Silver Hill,,,,42.395625,-71.302357,CR-zone-3,"Silver Hill Rd and Merriam St, Weston, MA 02493",https://www.mbta.com/stops/place-FR-0147,,1,,2,Weston,,,
place-FR-0167,,Lincoln,,,,42.413641,-71.325512,CR-zone-4,"160 Lincoln Rd, Lincoln, MA 01773",https://www.mbta.com/stops/place-FR-0167,,1,,2,Lincoln,,,
place-FR-0201,,Concord,,,,42.456565,-71.357677,CR-zone-5,"90 Thoreau St, Concord, MA 01742",https://www.mbta.com/stops/place-FR-0201,,1,,2,Concord,,,
place-FR-0219,,West Concord,,,,42.457043,-71.392892,CR-zone-5,"Commonwealth Ave and Main St, West Concord, MA 01742",https://www.mbta.com/stops/place-FR-0219,,1,,1,Concord,,,
place-FR-0253,,South Acton,,,,42.460375,-71.457744,CR-zone-6,"4 Central St, Acton, MA 01720",https://www.mbta.com/stops/place-FR-0253,,1,,1,Acton,,,
place-FR-0301,,Littleton/Route 495,,,,42.519236,-71.502643,CR-zone-7,"Grimes Ln and Foster St, Littleton, MA 01460",https://www.mbta.com/stops/place-FR-0301,,1,,1,Littleton,,,
place-FR-0361,,Ayer,,,,42.559074,-71.588476,CR-zone-8,"70 Main St, Ayer, MA 01432",https://www.mbta.com/stops/place-FR-0361,,1,,2,Ayer,,,
place-FR-0394,,Shirley,,,,42.545089,-71.648004,CR-zone-8,"Ayer Rd and Phoenix St, Shirley, MA 01464",https://www.mbta.com/stops/place-FR-0394,,1,,2,Shirley,,,
place-FR-0451,,North Leominster,,,,42.539017,-71.739186,CR-zone-8,"44 Nashua St, Leominster, MA 01453",https://www.mbta.com/stops/place-FR-0451,,1,,1,Leominster,,,
place-FR-0494,,Fitchburg,,,,42.58072,-71.792611,CR-zone-8,"150 Main St, Fitchburg, MA 01420",https://www.mbta.com/stops/place-FR-0494,,1,,1,Fitchburg,,,
place-FR-3338,,Wachusett,,,,42.553477,-71.848488,CR-zone-8,"55 Authority Dr, Fitchburg, MA 01420",https://www.mbta.com/stops/place-FR-3338,,1,,1,Fitchburg,,,
place-GB-0198,,Montserrat,,,,42.562171,-70.869254,CR-zone-4,"180 Essex St, Beverly, MA 01915",https://www.mbta.com/stops/place-GB-0198,,1,,1,Beverly,,,
place-GB-0222,,Prides Crossing,,,,42.559446,-70.825541,CR-zone-5,"600 Hale St, Beverly, MA 01915",https://www.mbta.com/stops/place-GB-0222,,1,,2,Beverly,,,
place-GB-0229,,Beverly Farms,,,,42.561651,-70.811405,CR-zone-5,"1 Oak St, Beverly, MA 01915",https://www.mbta.com/stops/place-GB-0229,,1,,1,Beverly,,,
place-GB-0254,,Manchester,,,,42.573687,-70.77009,CR-zone-6,"40 Beach St, Manchester, MA 01944",https://www.mbta.com/stops/place-GB-0254,,1,,1,Manchester-by-the-Sea,,,
place-GB-0296,,West Gloucester,,,,42.611933,-70.705417,CR-zone-7,"290 Essex Ave, Gloucester, MA 01930",https://www.mbta.com/stops/place-GB-0296,,1,,1,Gloucester,,,
place-GB-0316,,Gloucester,,,,42.616799,-70.668345,CR-zone-7,"75 Railroad Ave, Gloucester, MA 01930",https://www.mbta.com/stops/place-GB-0316,,1,,1,Gloucester,,,
place-GB-0353,,Rockport,,,,42.655491,-70.627055,CR-zone-8,"17 Railroad Ave, Rockport, MA 01966",https://www.mbta.com/stops/place-GB-0353,,1,,1,Rockport,,,
place-GRB-0118,,Weymouth Landing/East Braintree,,,,42.221503,-70.968152,CR-zone-2,"121 Commercial St, Weymouth, MA 02184",https://www.mbta.com/stops/place-GRB-0118,,1,,1,Weymouth,,,
place-GRB-0146,,East Weymouth,,,,42.2191,-70.9214,CR-zone-2,"1590 Commercial St, East Weymouth, MA 02189",https://www.mbta.com/stops/place-GRB-0146,,1,,1,Weymouth,,,
place-GRB-0162,,West Hingham,,,,42.235838,-70.902708,CR-zone-3,"20 Fort Hill Rd, Hingham, MA 02043",https://www.mbta.com/stops/place-GRB-0162,,1,,1,Hingham,,,
place-GRB-0183,,Nantasket Junction,,,,42.244959,-70.869205,CR-zone-4,"190 Summer St, Hingham, MA 02043",https://www.mbta.com/stops/place-GRB-0183,,1,,1,Hingham,,,
