Neighborhood,Average Commute Time
Allston/Brighton,34.39917824173928
Back Bay/Beacon Hill,26.044504577120158
Central Boston,24.317708803611737
Charlestown,31.863385464581416
Dorchester,36.20528355271251
East Boston,36.10821016073015
Fenway/Kenmore,25.010931003877236
Hyde Park,39.122020692832905
Jamaica Plain,33.827945050809184
Mattapan,41.76362605953085
Roslindale,37.19913902253735
Roxbury,33.63867321698502
South Boston,30.37513130252101
South End,29.185083930231286
West Roxbury,36.87379439464428
